img_id,GT,date_taken,date_granularity,url,username,title,license,license_url;
16058756969,1957,1957-01-01 00:00:00,6,https://farm8.staticflickr.com/7563/16058756969_81a301a976.jpg,Gertrud K.,1957,All Rights Reserved,;
8418118218,1957,1957-01-01 00:00:00,6,https://farm9.staticflickr.com/8189/8418118218_8cea50d90c.jpg,h willome,Ubahebe Crater,All Rights Reserved,;
14087897931,1930,1930-08-14 14:52:58,0,https://farm6.staticflickr.com/5498/14087897931_93ca2d8113.jpg,Alessandro Longhi,M. Rosa - Panorama dal Colle Gnifetti (4454 m): al centro si intravede il M. Bianco (4810 m) - 14 Agosto 1930,Attribution-NonCommercial-NoDerivs License,https://creativecommons.org/licenses/by-nc-nd/2.0/;
3336670416,1930,1930-08-01 00:00:00,4,https://farm4.staticflickr.com/3571/3336670416_aae3f78798.jpg,Jan Sluijter,Wendingen 1930-08 Page 12,All Rights Reserved,;
3723729431,1930,1930-07-15 13:33:38,0,https://farm3.staticflickr.com/2626/3723729431_c75a90ffc3.jpg,mark@pfalz,Ludwigshafen Winterhafen,All Rights Reserved,;
22079633682,1930,1930-10-01 00:00:00,4,https://farm6.staticflickr.com/5797/22079633682_9c62423734.jpg,pgkivu,Environs de Butare (Astrida),All Rights Reserved,;
3335832339,1930,1930-08-01 00:00:00,4,https://farm4.staticflickr.com/3587/3335832339_67cb019a8b.jpg,Jan Sluijter,Wendingen 1930-08 Page 19,All Rights Reserved,;
13961091554,1930,1930-10-01 00:00:00,4,https://farm6.staticflickr.com/5524/13961091554_a9f9eb8f8f.jpg,simms54,From Lela To Sam And George; 1930,All Rights Reserved,
5605217131,1979,1979-06-01 10:59:18,0,https://farm6.staticflickr.com/5226/5605217131_fdcb21d081.jpg,johnwoolley@btopenworld.com,50730_1979_06_Duffield,All Rights Reserved,;
6296314441,1979,1979-06-30 20:52:24,0,https://farm7.staticflickr.com/6235/6296314441_4906ccda3f.jpg,Kingmoor Klickr,Gloucester Horton Road Workshop,All Rights Reserved,;
6300000779,1979,1979-05-29 21:00:28,0,https://farm7.staticflickr.com/6057/6300000779_faa2dbcd80.jpg,Kingmoor Klickr,Ely North Junction,All Rights Reserved,;
2199183363,1979,1979-06-01 00:00:00,4,https://farm3.staticflickr.com/2075/2199183363_b16c01ea49.jpg,Lesley Eldridge,1979 (5),All Rights Reserved,;
6032470833,1979,1979-05-14 12:00:00,0,https://farm7.staticflickr.com/6063/6032470833_0671b769b6.jpg,Guy Arab UF,Trent ACH306B Swadlincote,All Rights Reserved,;
8345138819,1991,1991-10-01 00:00:00,4,https://farm9.staticflickr.com/8358/8345138819_a2c8f1ce5e.jpg,Irish251,TF-AIA Boeing 727-276,All Rights Reserved,;
9280554354,1991,1991-09-02 00:00:00,0,https://farm6.staticflickr.com/5480/9280554354_0678a5e7ec.jpg,Jorge Vasconcelos Photos,Mercer Street - New York - Sept-02-1991- 17 kodachrome,All Rights Reserved,;
4834028412,1991,1991-09-15 00:00:36,0,https://farm5.staticflickr.com/4109/4834028412_0946ffd82f.jpg,AIDO LOMBARDIA,1991_072 - 10e,All Rights Reserved,;
4143073157,1991,1991-09-10 13:51:41,0,https://farm3.staticflickr.com/2493/4143073157_421b15aaf2.jpg,ricsrailpics,Class 8F 8233 (from SVR) Water Orton en route to Derby. 10 September 1991,All Rights Reserved,;
2688349038,1991,1991-10-01 00:00:00,4,https://farm4.staticflickr.com/3204/2688349038_cc4b12596a.jpg,asimmetrica,little Diego 5 old,All Rights Reserved,;
3383780400,1991,1991-10-01 00:00:00,0,https://farm4.staticflickr.com/3581/3383780400_b881126010.jpg,dhperry,1991-s07-292-neworleans,All Rights Reserved,;
10691682993,1991,1991-10-09 00:00:25,0,https://farm6.staticflickr.com/5502/10691682993_7beb0d1f3d.jpg,homeboy63,Seattle100991g,All Rights Reserved,;
8445607697,1991,1991-11-01 00:00:00,4,https://farm9.staticflickr.com/8376/8445607697_0cd3c677eb.jpg,RL Casad,1991-11-A043,All Rights Reserved,;
10318211175,1961,1961-01-01 00:00:00,6,https://farm8.staticflickr.com/7332/10318211175_d9a0e673bc.jpg,1921-2010: Photographic Archive: By Peter Arbib,1961 Spring/Summer Various Locations,All Rights Reserved,;
4857494721,1961,1961-01-01 00:00:00,6,https://farm5.staticflickr.com/4123/4857494721_8c36b4b8f8.jpg,dusty sevens,smoking,All Rights Reserved,;
10132181785,1961,1961-01-01 00:00:00,8,https://farm6.staticflickr.com/5450/10132181785_92d2148a03.jpg,Baseball Autographs Football Coins,1961 Topps / MVP National League 1956 - Don Newcombe #483 (Pitcher) - Autographed Baseball Card (Brooklyn Dodgers),All Rights Reserved,;
14543354183,1961,1961-01-01 17:55:44,0,https://farm6.staticflickr.com/5158/14543354183_66d94e611b.jpg,ONG Eng-Joo,DindingsHS_4_1961_Sch Mag_1961 (2),All Rights Reserved,;
7976783085,1961,1961-01-01 00:00:00,6,https://farm9.staticflickr.com/8300/7976783085_002bc206b1.jpg,Drammen byarkiv,DRMK_Byarkivet_0467,All Rights Reserved,;
